ylogistic,xdpend,ydpend,xlorenz,ylorenz,zlorenz
8.684734831355033213e-01,2.654615218153823508e-01,-2.208815433303828180e-01,1.613668516599577885e+01,-4.862241651810865761e+00,5.172046771544162880e+01
4.340637104587617978e-01,2.654251297103955021e-01,-2.313530898855366835e-01,1.403679248421511438e+01,-8.641316430435244555e+00,4.955647821410816789e+01
9.334791417418292214e-01,2.653684961237511297e-01,-2.421084644894162530e-01,1.176898159275007849e+01,-1.158074137995029673e+01,4.702184328489332188e+01
2.359641679641150680e-01,2.652925091133268576e-01,-2.531454186794669381e-01,9.434009295480040080e+00,-1.370361120095165575e+01,4.440483540317487154e+01
6.850833017242482503e-01,2.651984943647858750e-01,-2.644604756009891200e-01,7.120247245836869965e+00,-1.511420878578585736e+01,4.192775848845797526e+01
8.198278514068332301e-01,2.650882433471362098e-01,-2.760487732002677164e-01,4.896801642674597055e+00,-1.595475753810923791e+01,3.973337613477085029e+01
5.612985527650566908e-01,2.649640348549717195e-01,-2.879038893932062138e-01,2.811645724596213647e+00,-1.636977011803679360e+01,3.789241416404563267e+01
9.357214522298562542e-01,2.648286481325653474e-01,-3.000176462114679810e-01,8.935041403329126997e-01,-1.648421205675916568e+01,3.642156353664052659e+01
2.285579010534793676e-01,2.646853648420671723e-01,-3.123798890270908513e-01,-8.442674793762949825e-01,-1.639461695507222316e+01,3.530291331988992454e+01
6.700129102941276837e-01,2.645379572669468438e-01,-3.249782367017675644e-01,-2.399302426945888023e+00,-1.616901466331463055e+01,3.449979904096844763e+01
8.401633192666193573e-01,2.643906595814095595e-01,-3.377977974764601043e-01,-3.776273650582762542e+00,-1.585137468054492338e+01,3.396763296177596203e+01
5.102978816569607723e-01,2.642481177746468513e-01,-3.508208441630171759e-01,-4.983783753578978626e+00,-1.546750678264043621e+01,3.366030747600196094e+01
9.495970238068409675e-01,2.641153131780503704e-01,-3.640264420405233681e-01,-6.032156056485124651e+00,-1.503073423042243029e+01,3.353345416573394999e+01
1.818775614993173306e-01,2.639974530838673505e-01,-3.773900201483040284e-01,-6.932013873878855037e+00,-1.454664029752705723e+01,3.354579428834843213e+01
5.654328336650416009e-01,2.638998202104242963e-01,-3.908828783433726528e-01,-7.693476516243675789e+00,-1.401673866506669164e+01,3.365950307828600785e+01
9.337304682585393367e-01,2.638275703879095491e-01,-4.044716191495232316e-01,-8.325802731125977019e+00,-1.344115873815200324e+01,3.384017862872827465e+01
2.351359474360671664e-01,2.637854646247342338e-01,-4.181174950418308223e-01,-8.837338331828579641e+00,-1.282050539899718800e+01,3.405674542601612842e+01
6.834187279057588604e-01,2.637775181830953053e-01,-4.317756630939434404e-01,-9.235655038545440121e+00,-1.215704525981261952e+01,3.428144346346400795e+01
8.221587669630460171e-01,2.638065437242600453e-01,-4.453943415345815726e-01,-9.527794060672157173e+00,-1.145534235748769625e+01,3.448994012936955755e+01
5.556121697016292993e-01,2.638735614786381634e-01,-4.589138729561243468e-01,-9.720548890353711613e+00,-1.072244080372556674e+01,3.466153485488564456e+01
9.382476890080932996e-01,2.639770420237357862e-01,-4.722657109355637428e-01,-9.820738081690898014e+00,-9.967678643271199235e+00,3.477939182087122560e+01
